DATAFLOW,LAST UPDATE,freq,unit,sex,frequenc,age,wstatus,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Belgium,2023,64.3,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Belgium,2025,63.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Bulgaria,2021,94.3,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Bulgaria,2023,97.1,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Bulgaria,2025,95.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Cyprus,2021,86.3,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Cyprus,2023,88.9,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Cyprus,2025,86.2,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Czechia,2021,85.6,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Czechia,2023,82.8,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Czechia,2025,80.7,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Germany,2021,71.3,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Germany,2023,73.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Germany,2025,71.9,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Denmark,2021,59.3,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Denmark,2023,59.2,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Denmark,2025,53.8,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Estonia,2021,71.7,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Estonia,2023,70.7,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Estonia,2025,68.2,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Greece,2021,88.7,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Greece,2023,92.4,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Greece,2025,93.3,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Spain,2021,84.3,bd,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Spain,2023,85.0,d,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Spain,2025,82.1,d,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Finland,2021,53.6,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Finland,2023,52.7,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Finland,2025,55.0,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,France,2021,65.5,bd,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,France,2023,65.8,d,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,France,2025,63.9,d,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Croatia,2021,87.4,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Croatia,2023,87.3,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Croatia,2025,85.0,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Hungary,2021,85.6,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Hungary,2023,90.1,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Hungary,2025,89.0,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Ireland,2021,56.5,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Ireland,2023,58.0,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Ireland,2025,59.9,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Italy,2021,87.0,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Italy,2023,88.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Italy,2025,92.0,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Lithuania,2021,84.8,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Lithuania,2023,85.2,,
